snapshot_utc,snapshot_aest,lga_name,lga_code,provider_code,provider_name,active_outage_count,known_customer_count_outage_count,unknown_customer_count_outage_count,total_affected_customers,planned_customers,unplanned_customers,unknown_type_customers
2026-09-15T08:30:46Z,2026-09-15T18:30:46+10:00,Gold Coast City,3430,all,All providers,1,1,0,54,0,54,0
2026-09-15T08:30:46Z,2026-09-15T18:30:46+10:00,Gold Coast City,3430,au.qld.energex,Energex,1,1,0,54,0,54,0
2026-09-15T08:30:46Z,2026-09-15T18:30:46+10:00,Mornington Shire,5250,all,All providers,1,1,0,63,0,63,0
2026-09-15T08:30:46Z,2026-09-15T18:30:46+10:00,Mornington Shire,5250,au.qld.ergon,Ergon Energy,1,1,0,63,0,63,0
2026-09-15T08:30:46Z,2026-09-15T18:30:46+10:00,Murweh Shire,5600,all,All providers,1,1,0,2,0,2,0
2026-09-15T08:30:46Z,2026-09-15T18:30:46+10:00,Murweh Shire,5600,au.qld.ergon,Ergon Energy,1,1,0,2,0,2,0
2026-09-15T08:45:41Z,2026-09-15T18:45:41+10:00,Gold Coast City,3430,all,All providers,1,1,0,54,0,54,0
2026-09-15T08:45:41Z,2026-09-15T18:45:41+10:00,Gold Coast City,3430,au.qld.energex,Energex,1,1,0,54,0,54,0
2026-09-15T08:45:41Z,2026-09-15T18:45:41+10:00,Mornington Shire,5250,all,All providers,1,1,0,63,0,63,0
2026-09-15T08:45:41Z,2026-09-15T18:45:41+10:00,Mornington Shire,5250,au.qld.ergon,Ergon Energy,1,1,0,63,0,63,0
2026-09-15T08:45:41Z,2026-09-15T18:45:41+10:00,Murweh Shire,5600,all,All providers,1,1,0,2,0,2,0
2026-09-15T08:45:41Z,2026-09-15T18:45:41+10:00,Murweh Shire,5600,au.qld.ergon,Ergon Energy,1,1,0,2,0,2,0
2026-09-15T09:00:55Z,2026-09-15T19:00:55+10:00,Gold Coast City,3430,all,All providers,1,1,0,54,0,54,0
2026-09-15T09:00:55Z,2026-09-15T19:00:55+10:00,Gold Coast City,3430,au.qld.energex,Energex,1,1,0,54,0,54,0
2026-09-15T09:00:55Z,2026-09-15T19:00:55+10:00,Mornington Shire,5250,all,All providers,1,1,0,63,0,63,0
2026-09-15T09:00:55Z,2026-09-15T19:00:55+10:00,Mornington Shire,5250,au.qld.ergon,Ergon Energy,1,1,0,63,0,63,0
2026-09-15T09:00:55Z,2026-09-15T19:00:55+10:00,Murweh Shire,5600,all,All providers,1,1,0,2,0,2,0
2026-09-15T09:00:55Z,2026-09-15T19:00:55+10:00,Murweh Shire,5600,au.qld.ergon,Ergon Energy,1,1,0,2,0,2,0
2026-09-15T09:15:39Z,2026-09-15T19:15:39+10:00,Gold Coast City,3430,all,All providers,1,1,0,54,0,54,0
2026-09-15T09:15:39Z,2026-09-15T19:15:39+10:00,Gold Coast City,3430,au.qld.energex,Energex,1,1,0,54,0,54,0
2026-09-15T09:15:39Z,2026-09-15T19:15:39+10:00,Mornington Shire,5250,all,All providers,1,1,0,63,0,63,0
2026-09-15T09:15:39Z,2026-09-15T19:15:39+10:00,Mornington Shire,5250,au.qld.ergon,Ergon Energy,1,1,0,63,0,63,0
2026-09-15T09:15:39Z,2026-09-15T19:15:39+10:00,Murweh Shire,5600,all,All providers,1,1,0,2,0,2,0
2026-09-15T09:15:39Z,2026-09-15T19:15:39+10:00,Murweh Shire,5600,au.qld.ergon,Ergon Energy,1,1,0,2,0,2,0
2026-09-15T09:30:45Z,2026-09-15T19:30:45+10:00,Gold Coast City,3430,all,All providers,1,1,0,8,0,8,0
2026-09-15T09:30:45Z,2026-09-15T19:30:45+10:00,Gold Coast City,3430,au.qld.energex,Energex,1,1,0,8,0,8,0
2026-09-15T09:30:45Z,2026-09-15T19:30:45+10:00,Mornington Shire,5250,all,All providers,1,1,0,63,0,63,0
2026-09-15T09:30:45Z,2026-09-15T19:30:45+10:00,Mornington Shire,5250,au.qld.ergon,Ergon Energy,1,1,0,63,0,63,0
2026-09-15T09:30:45Z,2026-09-15T19:30:45+10:00,Murweh Shire,5600,all,All providers,1,1,0,2,0,2,0
2026-09-15T09:30:45Z,2026-09-15T19:30:45+10:00,Murweh Shire,5600,au.qld.ergon,Ergon Energy,1,1,0,2,0,2,0
2026-09-15T09:45:41Z,2026-09-15T19:45:41+10:00,Gold Coast City,3430,all,All providers,1,1,0,8,0,8,0
2026-09-15T09:45:41Z,2026-09-15T19:45:41+10:00,Gold Coast City,3430,au.qld.energex,Energex,1,1,0,8,0,8,0
2026-09-15T09:45:41Z,2026-09-15T19:45:41+10:00,Mornington Shire,5250,all,All providers,1,1,0,63,0,63,0
2026-09-15T09:45:41Z,2026-09-15T19:45:41+10:00,Mornington Shire,5250,au.qld.ergon,Ergon Energy,1,1,0,63,0,63,0
