snapshot_utc,snapshot_aest,lga_name,lga_code,provider_code,provider_name,active_outage_count,known_customer_count_outage_count,unknown_customer_count_outage_count,total_affected_customers,planned_customers,unplanned_customers,unknown_type_customers
2026-09-23T00:01:01Z,2026-09-23T10:01:01+10:00,Brisbane City,1000,all,All providers,1,1,0,9,0,9,0
2026-09-23T00:01:01Z,2026-09-23T10:01:01+10:00,Brisbane City,1000,au.qld.energex,Energex,1,1,0,9,0,9,0
2026-09-23T00:01:01Z,2026-09-23T10:01:01+10:00,Cassowary Coast Regional,2260,all,All providers,1,1,0,20,0,20,0
2026-09-23T00:01:01Z,2026-09-23T10:01:01+10:00,Cassowary Coast Regional,2260,au.qld.ergon,Ergon Energy,1,1,0,20,0,20,0
2026-09-23T00:01:01Z,2026-09-23T10:01:01+10:00,Cook Shire,2500,all,All providers,1,1,0,2,0,2,0
2026-09-23T00:01:01Z,2026-09-23T10:01:01+10:00,Cook Shire,2500,au.qld.ergon,Ergon Energy,1,1,0,2,0,2,0
2026-09-23T00:01:01Z,2026-09-23T10:01:01+10:00,Goondiwindi Regional,3610,all,All providers,1,1,0,8,0,8,0
2026-09-23T00:01:01Z,2026-09-23T10:01:01+10:00,Goondiwindi Regional,3610,au.qld.essentialenergy,Essential Energy,1,1,0,8,0,8,0
2026-09-23T00:01:01Z,2026-09-23T10:01:01+10:00,Mackay Regional,4770,all,All providers,1,1,0,33,0,33,0
2026-09-23T00:01:01Z,2026-09-23T10:01:01+10:00,Mackay Regional,4770,au.qld.ergon,Ergon Energy,1,1,0,33,0,33,0
2026-09-23T00:01:01Z,2026-09-23T10:01:01+10:00,South Burnett Regional,6630,all,All providers,1,1,0,33,0,33,0
2026-09-23T00:01:01Z,2026-09-23T10:01:01+10:00,South Burnett Regional,6630,au.qld.ergon,Ergon Energy,1,1,0,33,0,33,0
2026-09-23T00:01:01Z,2026-09-23T10:01:01+10:00,Toowoomba Regional,6910,all,All providers,1,1,0,204,0,204,0
2026-09-23T00:01:01Z,2026-09-23T10:01:01+10:00,Toowoomba Regional,6910,au.qld.ergon,Ergon Energy,1,1,0,204,0,204,0
2026-09-23T00:01:01Z,2026-09-23T10:01:01+10:00,Western Downs Regional,7310,all,All providers,1,1,0,114,0,114,0
2026-09-23T00:01:01Z,2026-09-23T10:01:01+10:00,Western Downs Regional,7310,au.qld.ergon,Ergon Energy,1,1,0,114,0,114,0
